subset,references,metric,value
1size,"[0, 1, 2]",bleu,66.48
1size,"[0, 1, 2]",bleu_1,90.3
1size,"[0, 1, 2]",bleu_2,76.1
1size,"[0, 1, 2]",bleu_3,64.0
1size,"[0, 1, 2]",bleu_4,54.3
1size,"[0, 1, 2]",meteor,0.49012689033733153
1size,"[0, 1, 2]",ter,0.23874970010624813
1size,"[0, 1, 2]",avg_n_tokens,9.841409691629956
1size,"[0, 1, 2]",avg_n_stop_words,0.247538048343778
1size,"[0, 1, 2]",macro_avg_n_stop_words,0.24893400846285724
1size,"[0, 1]",bleu,60.57
1size,"[0, 1]",bleu_1,88.3
1size,"[0, 1]",bleu_2,71.2
1size,"[0, 1]",bleu_3,57.7
1size,"[0, 1]",bleu_4,47.3
1size,"[0, 1]",meteor,0.4700988040257127
1size,"[0, 1]",ter,0.2759400041093076
1size,"[0, 1]",avg_n_tokens,9.841409691629956
1size,"[0, 1]",avg_n_stop_words,0.247538048343778
1size,"[0, 1]",macro_avg_n_stop_words,0.24893400846285724
2size,"[0, 1, 2]",bleu,52.06
2size,"[0, 1, 2]",bleu_1,83.2
2size,"[0, 1, 2]",bleu_2,61.9
2size,"[0, 1, 2]",bleu_3,47.7
2size,"[0, 1, 2]",bleu_4,36.9
2size,"[0, 1, 2]",meteor,0.41626372545827306
2size,"[0, 1, 2]",ter,0.39660009902624216
2size,"[0, 1, 2]",avg_n_tokens,15.87679083094556
2size,"[0, 1, 2]",avg_n_stop_words,0.28189857426457315
2size,"[0, 1, 2]",macro_avg_n_stop_words,0.27714228616900927
2size,"[0, 1]",bleu,47.91
2size,"[0, 1]",bleu_1,80.8
2size,"[0, 1]",bleu_2,58.1
2size,"[0, 1]",bleu_3,43.6
2size,"[0, 1]",bleu_4,33.3
2size,"[0, 1]",meteor,0.40397661949974684
2size,"[0, 1]",ter,0.4257385007817
2size,"[0, 1]",avg_n_tokens,15.87679083094556
2size,"[0, 1]",avg_n_stop_words,0.28189857426457315
2size,"[0, 1]",macro_avg_n_stop_words,0.27714228616900927
3size,"[0, 1, 2]",bleu,45.20
3size,"[0, 1, 2]",bleu_1,79.4
3size,"[0, 1, 2]",bleu_2,54.1
3size,"[0, 1, 2]",bleu_3,37.9
3size,"[0, 1, 2]",bleu_4,27.2
