subset,references,metric,value
1size,"[0, 1, 2]",bleu,48.13
2size,"[0, 1, 2]",bleu,33.77
3size,"[0, 1, 2]",bleu,27.78
4size,"[0, 1, 2]",bleu,27.56
5size,"[0, 1, 2]",bleu,26.35
6size,"[0, 1, 2]",bleu,62.03
7size,"[0, 1, 2]",bleu,62.96
all-cat,"[0, 1, 2]",bleu,31.06
new-cat,"[0, 1, 2]",bleu,10.53
old-cat,"[0, 1, 2]",bleu,60.59
1size,"[0, 1, 2]",bleu_1,69.6
2size,"[0, 1, 2]",bleu_1,58.3
3size,"[0, 1, 2]",bleu_1,52.1
4size,"[0, 1, 2]",bleu_1,50.3
5size,"[0, 1, 2]",bleu_1,50.8
6size,"[0, 1, 2]",bleu_1,86.5
7size,"[0, 1, 2]",bleu_1,88.7
all-cat,"[0, 1, 2]",bleu_1,54.9
new-cat,"[0, 1, 2]",bleu_1,34.5
old-cat,"[0, 1, 2]",bleu_1,85.6
1size,"[0, 1, 2]",bleu_2,51.3
2size,"[0, 1, 2]",bleu_2,37.8
3size,"[0, 1, 2]",bleu_2,32.5
4size,"[0, 1, 2]",bleu_2,32.0
5size,"[0, 1, 2]",bleu_2,31.4
6size,"[0, 1, 2]",bleu_2,69.8
7size,"[0, 1, 2]",bleu_2,71.5
all-cat,"[0, 1, 2]",bleu_2,35.7
new-cat,"[0, 1, 2]",bleu_2,14.7
old-cat,"[0, 1, 2]",bleu_2,67.9
1size,"[0, 1, 2]",bleu_3,42.2
2size,"[0, 1, 2]",bleu_3,27.9
3size,"[0, 1, 2]",bleu_3,22.2
4size,"[0, 1, 2]",bleu_3,22.2
5size,"[0, 1, 2]",bleu_3,20.8
6size,"[0, 1, 2]",bleu_3,56.4
7size,"[0, 1, 2]",bleu_3,56.0
all-cat,"[0, 1, 2]",bleu_3,25.3
new-cat,"[0, 1, 2]",bleu_3,7.1
old-cat,"[0, 1, 2]",bleu_3,53.7
1size,"[0, 1, 2]",bleu_4,35.5
2size,"[0, 1, 2]",bleu_4,21.2
3size,"[0, 1, 2]",bleu_4,15.8
4size,"[0, 1, 2]",bleu_4,16.1
