subset,references,bleu,bleu_1,bleu_2,bleu_3,bleu_4,meteor,ter
1size,"[0, 1, 2]",42.36,65.1,45.2,38.8,33.6,0.27738767131048075,0.4910717345854613
2size,"[0, 1, 2]",33.83,65.2,42.1,33.2,26.9,0.24135895873732657,0.5755075094900152
3size,"[0, 1, 2]",30.46,64.3,40.1,29.5,22.2,0.22231158973471055,0.6397284629060932
4size,"[0, 1, 2]",31.11,64.1,40.8,30.1,23.2,0.2216274463007048,0.6533649570115625
5size,"[0, 1, 2]",28.88,63.2,38.9,26.7,19.8,0.21037011464486483,0.6690543921582065
6size,"[0, 1, 2]",53.25,85.7,67.1,51.9,41.1,0.3685568055623714,0.42676691729323313
7size,"[0, 1, 2]",53.81,89.9,69.3,54.3,43.1,0.378775867221362,0.4021369596891695
all-cat,"[0, 1, 2]",33.24,65.4,42.3,31.8,24.8,0.23543595051539076,0.6130803717457806
new-cat,"[0, 1, 2]",6.13,38.9,10.1,4.9,2.8,0.07535281945013225,0.8072923224133149
old-cat,"[0, 1, 2]",52.39,81.2,61.1,47.1,36.8,0.3777203807455693,0.44864834134000403
