subset,references,metric,value
1size,"[0, 1, 2]",bleu,63.81
2size,"[0, 1, 2]",bleu,51.25
3size,"[0, 1, 2]",bleu,43.42
4size,"[0, 1, 2]",bleu,42.14
5size,"[0, 1, 2]",bleu,36.72
6size,"[0, 1, 2]",bleu,52.16
7size,"[0, 1, 2]",bleu,48.65
all-cat,"[0, 1, 2]",bleu,45.13
new-cat,"[0, 1, 2]",bleu,33.27
old-cat,"[0, 1, 2]",bleu,54.52
1size,"[0, 1, 2]",bleu_1,87.5
2size,"[0, 1, 2]",bleu_1,82.2
3size,"[0, 1, 2]",bleu_1,80.3
4size,"[0, 1, 2]",bleu_1,78.6
5size,"[0, 1, 2]",bleu_1,75.3
6size,"[0, 1, 2]",bleu_1,81.8
7size,"[0, 1, 2]",bleu_1,81.4
all-cat,"[0, 1, 2]",bleu_1,79.9
new-cat,"[0, 1, 2]",bleu_1,72.2
old-cat,"[0, 1, 2]",bleu_1,86.3
1size,"[0, 1, 2]",bleu_2,72.5
2size,"[0, 1, 2]",bleu_2,59.7
3size,"[0, 1, 2]",bleu_2,54.7
4size,"[0, 1, 2]",bleu_2,52.7
5size,"[0, 1, 2]",bleu_2,47.9
6size,"[0, 1, 2]",bleu_2,60.3
7size,"[0, 1, 2]",bleu_2,60.3
all-cat,"[0, 1, 2]",bleu_2,55.4
new-cat,"[0, 1, 2]",bleu_2,44.0
old-cat,"[0, 1, 2]",bleu_2,65.0
1size,"[0, 1, 2]",bleu_3,60.5
2size,"[0, 1, 2]",bleu_3,44.8
3size,"[0, 1, 2]",bleu_3,37.4
4size,"[0, 1, 2]",bleu_3,35.6
5size,"[0, 1, 2]",bleu_3,29.7
6size,"[0, 1, 2]",bleu_3,45.7
7size,"[0, 1, 2]",bleu_3,44.7
all-cat,"[0, 1, 2]",bleu_3,38.8
new-cat,"[0, 1, 2]",bleu_3,27.1
old-cat,"[0, 1, 2]",bleu_3,48.5
1size,"[0, 1, 2]",bleu_4,49.9
2size,"[0, 1, 2]",bleu_4,34.0
3size,"[0, 1, 2]",bleu_4,25.6
4size,"[0, 1, 2]",bleu_4,24.6
