subset,references,metric,value
1size,"[0, 1, 2]",bleu,53.15
2size,"[0, 1, 2]",bleu,45.34
3size,"[0, 1, 2]",bleu,34.89
4size,"[0, 1, 2]",bleu,36.8
5size,"[0, 1, 2]",bleu,34.17
6size,"[0, 1, 2]",bleu,52.89
7size,"[0, 1, 2]",bleu,52.63
all-cat,"[0, 1, 2]",bleu,39.85
new-cat,"[0, 1, 2]",bleu,25.36
old-cat,"[0, 1, 2]",bleu,51.18
1size,"[0, 1, 2]",bleu_1,77.3
2size,"[0, 1, 2]",bleu_1,75.4
3size,"[0, 1, 2]",bleu_1,70.7
4size,"[0, 1, 2]",bleu_1,73.1
5size,"[0, 1, 2]",bleu_1,72.4
6size,"[0, 1, 2]",bleu_1,84.1
7size,"[0, 1, 2]",bleu_1,84.8
all-cat,"[0, 1, 2]",bleu_1,73.9
new-cat,"[0, 1, 2]",bleu_1,63.3
old-cat,"[0, 1, 2]",bleu_1,82.0
1size,"[0, 1, 2]",bleu_2,59.1
2size,"[0, 1, 2]",bleu_2,53.6
3size,"[0, 1, 2]",bleu_2,44.5
4size,"[0, 1, 2]",bleu_2,48.6
5size,"[0, 1, 2]",bleu_2,45.9
6size,"[0, 1, 2]",bleu_2,64.5
7size,"[0, 1, 2]",bleu_2,62.8
all-cat,"[0, 1, 2]",bleu_2,49.9
new-cat,"[0, 1, 2]",bleu_2,35.7
old-cat,"[0, 1, 2]",bleu_2,60.7
1size,"[0, 1, 2]",bleu_3,46.8
2size,"[0, 1, 2]",bleu_3,40.9
3size,"[0, 1, 2]",bleu_3,29.8
4size,"[0, 1, 2]",bleu_3,34.3
5size,"[0, 1, 2]",bleu_3,30.7
6size,"[0, 1, 2]",bleu_3,49.1
7size,"[0, 1, 2]",bleu_3,45.0
all-cat,"[0, 1, 2]",bleu_3,35.6
new-cat,"[0, 1, 2]",bleu_3,22.0
old-cat,"[0, 1, 2]",bleu_3,45.9
1size,"[0, 1, 2]",bleu_4,37.4
2size,"[0, 1, 2]",bleu_4,31.7
3size,"[0, 1, 2]",bleu_4,20.3
4size,"[0, 1, 2]",bleu_4,24.9
