subset,references,metric,value
1size,"[0, 1, 2]",bleu,44.81
2size,"[0, 1, 2]",bleu,34.84
3size,"[0, 1, 2]",bleu,33.91
4size,"[0, 1, 2]",bleu,34.05
5size,"[0, 1, 2]",bleu,33.03
6size,"[0, 1, 2]",bleu,39.83
7size,"[0, 1, 2]",bleu,40.68
all-cat,"[0, 1, 2]",bleu,35.29
new-cat,"[0, 1, 2]",bleu,20.65
old-cat,"[0, 1, 2]",bleu,44.34
1size,"[0, 1, 2]",bleu_1,90.8
2size,"[0, 1, 2]",bleu_1,85.2
3size,"[0, 1, 2]",bleu_1,82.0
4size,"[0, 1, 2]",bleu_1,81.3
5size,"[0, 1, 2]",bleu_1,78.2
6size,"[0, 1, 2]",bleu_1,77.8
7size,"[0, 1, 2]",bleu_1,77.3
all-cat,"[0, 1, 2]",bleu_1,81.8
new-cat,"[0, 1, 2]",bleu_1,81.8
old-cat,"[0, 1, 2]",bleu_1,81.8
1size,"[0, 1, 2]",bleu_2,72.5
2size,"[0, 1, 2]",bleu_2,61.8
3size,"[0, 1, 2]",bleu_2,56.3
4size,"[0, 1, 2]",bleu_2,55.8
5size,"[0, 1, 2]",bleu_2,51.0
6size,"[0, 1, 2]",bleu_2,51.3
7size,"[0, 1, 2]",bleu_2,52.0
all-cat,"[0, 1, 2]",bleu_2,56.6
new-cat,"[0, 1, 2]",bleu_2,57.1
old-cat,"[0, 1, 2]",bleu_2,56.4
1size,"[0, 1, 2]",bleu_3,56.6
2size,"[0, 1, 2]",bleu_3,44.5
3size,"[0, 1, 2]",bleu_3,38.3
4size,"[0, 1, 2]",bleu_3,38.6
5size,"[0, 1, 2]",bleu_3,33.0
6size,"[0, 1, 2]",bleu_3,33.5
7size,"[0, 1, 2]",bleu_3,32.9
all-cat,"[0, 1, 2]",bleu_3,38.8
new-cat,"[0, 1, 2]",bleu_3,39.3
old-cat,"[0, 1, 2]",bleu_3,38.6
1size,"[0, 1, 2]",bleu_4,43.6
2size,"[0, 1, 2]",bleu_4,32.4
3size,"[0, 1, 2]",bleu_4,26.3
4size,"[0, 1, 2]",bleu_4,26.7
5size,"[0, 1, 2]",bleu_4,21.1
6size,"[0, 1, 2]",bleu_4,21.1
7size,"[0, 1, 2]",bleu_4,20.7
all-cat,"[0, 1, 2]",bleu_4,26.5
new-cat,"[0, 1, 2]",bleu_4,26.6
old-cat,"[0, 1, 2]",bleu_4,26.5
1size,"[0, 1, 2]",ter,0.475854268773349
2size,"[0, 1, 2]",ter,0.5152665456345934
3size,"[0, 1, 2]",ter,0.5599913797747964
4size,"[0, 1, 2]",ter,0.5781203676252594
5size,"[0, 1, 2]",ter,0.6298796997635121
6size,"[0, 1, 2]",ter,0.5711278195488723
7size,"[0, 1, 2]",ter,0.6041767848470131
all-cat,"[0, 1, 2]",ter,0.566023359181081
new-cat,"[0, 1, 2]",ter,0.6575176894215995
old-cat,"[0, 1, 2]",ter,0.4885585150231673
1size,"[0, 1, 2]",meteor,0.3231921221983646
2size,"[0, 1, 2]",meteor,0.3181933930606118
3size,"[0, 1, 2]",meteor,0.3074305119873645
4size,"[0, 1, 2]",meteor,0.2976199999810974
5size,"[0, 1, 2]",meteor,0.2966922562132226
6size,"[0, 1, 2]",meteor,0.3583360466457675
7size,"[0, 1, 2]",meteor,0.3872533962994496
all-cat,"[0, 1, 2]",meteor,0.3083401410609527
new-cat,"[0, 1, 2]",meteor,0.21625392483578004
old-cat,"[0, 1, 2]",meteor,0.38239237838793705
1size,"[0, 1, 2]",avg_n_tokens,6.420704845814978
2size,"[0, 1, 2]",avg_n_tokens,11.300859598853869
3size,"[0, 1, 2]",avg_n_tokens,16.373056994818654
4size,"[0, 1, 2]",avg_n_tokens,21.415977961432507
5size,"[0, 1, 2]",avg_n_tokens,28.279245283018867
6size,"[0, 1, 2]",avg_n_tokens,44.25
7size,"[0, 1, 2]",avg_n_tokens,52.476190476190474
all-cat,"[0, 1, 2]",avg_n_tokens,16.43984962406015
new-cat,"[0, 1, 2]",avg_n_tokens,10.469135802469136
old-cat,"[0, 1, 2]",avg_n_tokens,21.918640576725025
1size,"[0, 1, 2]",macro_avg_n_stop_words,0.19828473413379075
1size,"[0, 1, 2]",avg_n_stop_words,0.14906840000188107
2size,"[0, 1, 2]",macro_avg_n_stop_words,0.2421399594320487
2size,"[0, 1, 2]",avg_n_stop_words,0.19724078400158518
3size,"[0, 1, 2]",macro_avg_n_stop_words,0.26772151898734176
3size,"[0, 1, 2]",avg_n_stop_words,0.23114794159069071
4size,"[0, 1, 2]",macro_avg_n_stop_words,0.2715461795729354
4size,"[0, 1, 2]",avg_n_stop_words,0.24087100370053174
5size,"[0, 1, 2]",macro_avg_n_stop_words,0.30210835334934616
5size,"[0, 1, 2]",avg_n_stop_words,0.26794207138796894
6size,"[0, 1, 2]",macro_avg_n_stop_words,0.3267419962335217
6size,"[0, 1, 2]",avg_n_stop_words,0.32580575463444766
7size,"[0, 1, 2]",macro_avg_n_stop_words,0.338475499092559
7size,"[0, 1, 2]",avg_n_stop_words,0.3334917414488266
all-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.27179771977393746
all-cat,"[0, 1, 2]",avg_n_stop_words,0.2142860798142701
new-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.23692109777015438
new-cat,"[0, 1, 2]",avg_n_stop_words,0.1592529727096201
old-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.28708358784006016
old-cat,"[0, 1, 2]",avg_n_stop_words,0.2647850483315134
