subset,references,metric,value
1size,"[0, 1, 2]",bleu,44.65
2size,"[0, 1, 2]",bleu,16.52
3size,"[0, 1, 2]",bleu,5.69
4size,"[0, 1, 2]",bleu,0.31
5size,"[0, 1, 2]",bleu,0.01
6size,"[0, 1, 2]",bleu,0.0
7size,"[0, 1, 2]",bleu,0.0
all-cat,"[0, 1, 2]",bleu,7.07
new-cat,"[0, 1, 2]",bleu,0.11
old-cat,"[0, 1, 2]",bleu,19.87
1size,"[0, 1, 2]",bleu_1,70.7
2size,"[0, 1, 2]",bleu_1,68.6
3size,"[0, 1, 2]",bleu_1,69.2
4size,"[0, 1, 2]",bleu_1,61.3
5size,"[0, 1, 2]",bleu_1,54.5
6size,"[0, 1, 2]",bleu_1,0.0
7size,"[0, 1, 2]",bleu_1,0.0
all-cat,"[0, 1, 2]",bleu_1,67.5
new-cat,"[0, 1, 2]",bleu_1,49.6
old-cat,"[0, 1, 2]",bleu_1,72.0
1size,"[0, 1, 2]",bleu_2,52.4
2size,"[0, 1, 2]",bleu_2,53.4
3size,"[0, 1, 2]",bleu_2,56.9
4size,"[0, 1, 2]",bleu_2,57.9
5size,"[0, 1, 2]",bleu_2,59.9
6size,"[0, 1, 2]",bleu_2,0.0
7size,"[0, 1, 2]",bleu_2,0.0
all-cat,"[0, 1, 2]",bleu_2,54.4
new-cat,"[0, 1, 2]",bleu_2,53.0
old-cat,"[0, 1, 2]",bleu_2,54.7
1size,"[0, 1, 2]",bleu_3,38.1
2size,"[0, 1, 2]",bleu_3,38.8
3size,"[0, 1, 2]",bleu_3,40.4
4size,"[0, 1, 2]",bleu_3,43.1
5size,"[0, 1, 2]",bleu_3,42.2
6size,"[0, 1, 2]",bleu_3,0.0
7size,"[0, 1, 2]",bleu_3,0.0
all-cat,"[0, 1, 2]",bleu_3,39.5
new-cat,"[0, 1, 2]",bleu_3,37.6
old-cat,"[0, 1, 2]",bleu_3,39.8
1size,"[0, 1, 2]",bleu_4,28.2
2size,"[0, 1, 2]",bleu_4,29.1
3size,"[0, 1, 2]",bleu_4,29.3
4size,"[0, 1, 2]",bleu_4,32.9
5size,"[0, 1, 2]",bleu_4,29.3
6size,"[0, 1, 2]",bleu_4,0.0
7size,"[0, 1, 2]",bleu_4,0.0
all-cat,"[0, 1, 2]",bleu_4,29.2
new-cat,"[0, 1, 2]",bleu_4,26.3
old-cat,"[0, 1, 2]",bleu_4,29.7
1size,"[0, 1, 2]",ter,0.6251499468759641
2size,"[0, 1, 2]",ter,0.7641525004126097
3size,"[0, 1, 2]",ter,0.8315284736813746
4size,"[0, 1, 2]",ter,0.8665579602727543
5size,"[0, 1, 2]",ter,0.8966994550502103
6size,"[0, 1, 2]",ter,0.9293233082706768
7size,"[0, 1, 2]",ter,0.9295774647887324
all-cat,"[0, 1, 2]",ter,0.8274922552962218
new-cat,"[0, 1, 2]",ter,0.8775967567295337
old-cat,"[0, 1, 2]",ter,0.7850706387333353
1size,"[0, 1, 2]",meteor,0.3284690038824138
2size,"[0, 1, 2]",meteor,0.1566366168323407
3size,"[0, 1, 2]",meteor,0.09194828123945273
4size,"[0, 1, 2]",meteor,0.0423658982987264
5size,"[0, 1, 2]",meteor,0.021128337142511458
6size,"[0, 1, 2]",meteor,0.0
7size,"[0, 1, 2]",meteor,0.0
all-cat,"[0, 1, 2]",meteor,0.09920650308713083
new-cat,"[0, 1, 2]",meteor,0.033486421421953336
old-cat,"[0, 1, 2]",meteor,0.15349885257074847
1size,"[0, 1, 2]",avg_n_tokens,9.55726872246696
2size,"[0, 1, 2]",avg_n_tokens,7.252148997134671
3size,"[0, 1, 2]",avg_n_tokens,5.891191709844559
4size,"[0, 1, 2]",avg_n_tokens,3.746556473829201
5size,"[0, 1, 2]",avg_n_tokens,2.5320754716981133
6size,"[0, 1, 2]",avg_n_tokens,1.0
7size,"[0, 1, 2]",avg_n_tokens,1.0
all-cat,"[0, 1, 2]",avg_n_tokens,6.02577873254565
new-cat,"[0, 1, 2]",avg_n_tokens,2.5196408529741863
old-cat,"[0, 1, 2]",avg_n_tokens,9.243048403707519
1size,"[0, 1, 2]",macro_avg_n_stop_words,0.32288545747868175
1size,"[0, 1, 2]",avg_n_stop_words,0.23465312259653437
2size,"[0, 1, 2]",macro_avg_n_stop_words,0.32200711181351244
2size,"[0, 1, 2]",avg_n_stop_words,0.115245042569626
3size,"[0, 1, 2]",macro_avg_n_stop_words,0.3038698328935796
3size,"[0, 1, 2]",avg_n_stop_words,0.06595401793103425
4size,"[0, 1, 2]",macro_avg_n_stop_words,0.24705882352941178
4size,"[0, 1, 2]",avg_n_stop_words,0.02749545620712316
5size,"[0, 1, 2]",macro_avg_n_stop_words,0.19523099850968703
5size,"[0, 1, 2]",avg_n_stop_words,0.012361220437034567
6size,"[0, 1, 2]",macro_avg_n_stop_words,0.0
6size,"[0, 1, 2]",avg_n_stop_words,0.0
7size,"[0, 1, 2]",macro_avg_n_stop_words,0.0
7size,"[0, 1, 2]",avg_n_stop_words,0.0
all-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.30071301247771837
all-cat,"[0, 1, 2]",avg_n_stop_words,0.0996068004597238
new-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.21425389755011137
new-cat,"[0, 1, 2]",avg_n_stop_words,0.04428270435752373
old-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.3223398328690808
old-cat,"[0, 1, 2]",avg_n_stop_words,0.15037278359778727
1size,"[0, 1]",bleu,37.72
1size,"[0, 1]",bleu_1,68.7
1size,"[0, 1]",bleu_2,49.2
1size,"[0, 1]",bleu_3,34.7
1size,"[0, 1]",bleu_4,24.8
1size,"[0, 1]",meteor,0.32146361421641984
1size,"[0, 1]",ter,0.6519416478323402
1size,"[0, 1]",avg_n_tokens,9.55726872246696
1size,"[0, 1]",avg_n_stop_words,0.32288545747868175
1size,"[0, 1]",macro_avg_n_stop_words,0.23465312259653437
2size,"[0, 1]",bleu,11.43
2size,"[0, 1]",bleu_1,66.5
2size,"[0, 1]",bleu_2,50.1
2size,"[0, 1]",bleu_3,35.6
2size,"[0, 1]",bleu_4,26.3
2size,"[0, 1]",meteor,0.15184157692007147
2size,"[0, 1]",ter,0.7917386653501193
2size,"[0, 1]",avg_n_tokens,7.252148997134671
2size,"[0, 1]",avg_n_stop_words,0.32200711181351244
2size,"[0, 1]",macro_avg_n_stop_words,0.115245042569626
3size,"[0, 1]",bleu,2.55
3size,"[0, 1]",bleu_1,65.7
3size,"[0, 1]",bleu_2,51.7
3size,"[0, 1]",bleu_3,35.5
3size,"[0, 1]",bleu_4,25.0
3size,"[0, 1]",meteor,0.09017724062715693
3size,"[0, 1]",ter,0.8549256305238198
3size,"[0, 1]",avg_n_tokens,5.891191709844559
3size,"[0, 1]",avg_n_stop_words,0.3038698328935796
3size,"[0, 1]",macro_avg_n_stop_words,0.06595401793103425
4size,"[0, 1]",bleu,0.07
4size,"[0, 1]",bleu_1,60.0
4size,"[0, 1]",bleu_2,54.9
4size,"[0, 1]",bleu_3,40.0
4size,"[0, 1]",bleu_4,30.2
4size,"[0, 1]",meteor,0.041579966001665296
4size,"[0, 1]",ter,0.8972581570930284
4size,"[0, 1]",avg_n_tokens,3.746556473829201
4size,"[0, 1]",avg_n_stop_words,0.24705882352941178
4size,"[0, 1]",macro_avg_n_stop_words,0.02749545620712316
5size,"[0, 1]",bleu,0.00
5size,"[0, 1]",bleu_1,53.1
5size,"[0, 1]",bleu_2,56.9
5size,"[0, 1]",bleu_3,39.9
