subset,references,metric,value
1size,"[0, 1, 2]",bleu,60.29
2size,"[0, 1, 2]",bleu,43.24
3size,"[0, 1, 2]",bleu,36.84
4size,"[0, 1, 2]",bleu,35.54
5size,"[0, 1, 2]",bleu,32.66
6size,"[0, 1, 2]",bleu,38.33
7size,"[0, 1, 2]",bleu,37.84
all-cat,"[0, 1, 2]",bleu,38.65
new-cat,"[0, 1, 2]",bleu,35.7
old-cat,"[0, 1, 2]",bleu,40.88
1size,"[0, 1, 2]",bleu_1,86.5
2size,"[0, 1, 2]",bleu_1,77.5
3size,"[0, 1, 2]",bleu_1,74.8
4size,"[0, 1, 2]",bleu_1,73.6
5size,"[0, 1, 2]",bleu_1,72.4
6size,"[0, 1, 2]",bleu_1,76.5
7size,"[0, 1, 2]",bleu_1,75.7
all-cat,"[0, 1, 2]",bleu_1,75.5
new-cat,"[0, 1, 2]",bleu_1,74.2
old-cat,"[0, 1, 2]",bleu_1,76.4
1size,"[0, 1, 2]",bleu_2,68.7
2size,"[0, 1, 2]",bleu_2,52.6
3size,"[0, 1, 2]",bleu_2,46.9
4size,"[0, 1, 2]",bleu_2,45.8
5size,"[0, 1, 2]",bleu_2,44.0
6size,"[0, 1, 2]",bleu_2,49.5
7size,"[0, 1, 2]",bleu_2,48.8
all-cat,"[0, 1, 2]",bleu_2,48.7
new-cat,"[0, 1, 2]",bleu_2,45.7
old-cat,"[0, 1, 2]",bleu_2,51.1
1size,"[0, 1, 2]",bleu_3,55.3
2size,"[0, 1, 2]",bleu_3,35.9
3size,"[0, 1, 2]",bleu_3,29.5
4size,"[0, 1, 2]",bleu_3,28.3
5size,"[0, 1, 2]",bleu_3,25.1
6size,"[0, 1, 2]",bleu_3,30.6
7size,"[0, 1, 2]",bleu_3,30.1
all-cat,"[0, 1, 2]",bleu_3,31.1
new-cat,"[0, 1, 2]",bleu_3,28.3
old-cat,"[0, 1, 2]",bleu_3,33.3
1size,"[0, 1, 2]",bleu_4,44.8
2size,"[0, 1, 2]",bleu_4,23.9
3size,"[0, 1, 2]",bleu_4,17.8
4size,"[0, 1, 2]",bleu_4,16.8
5size,"[0, 1, 2]",bleu_4,14.2
6size,"[0, 1, 2]",bleu_4,18.6
7size,"[0, 1, 2]",bleu_4,18.4
all-cat,"[0, 1, 2]",bleu_4,19.5
new-cat,"[0, 1, 2]",bleu_4,16.9
old-cat,"[0, 1, 2]",bleu_4,21.5
1size,"[0, 1, 2]",ter,0.2706241217397265
2size,"[0, 1, 2]",ter,0.4677339494966168
3size,"[0, 1, 2]",ter,0.5676418296427992
4size,"[0, 1, 2]",ter,0.622324340349837
5size,"[0, 1, 2]",ter,0.6654556671350718
6size,"[0, 1, 2]",ter,0.5981954887218045
7size,"[0, 1, 2]",ter,0.6546867411364741
all-cat,"[0, 1, 2]",ter,0.5593273171576449
new-cat,"[0, 1, 2]",ter,0.5595648779996469
old-cat,"[0, 1, 2]",ter,0.5591261832343161
1size,"[0, 1, 2]",meteor,0.4692794333277229
2size,"[0, 1, 2]",meteor,0.4097000031715538
3size,"[0, 1, 2]",meteor,0.3835816166351188
4size,"[0, 1, 2]",meteor,0.3768834255653847
5size,"[0, 1, 2]",meteor,0.3677475895577079
6size,"[0, 1, 2]",meteor,0.4028036563575311
