,bleu,meteor,ter,elapsed_time,dp_scorer_n,sa_scorer_n,tems_lm_n,referrer_lm_n,txs_lm_n,max_dp,max_sa,max_refs,max_tems
4651861887509401877,60.54,0.4403654439741755,0.3469386096778126,632.448199033737,3,4,3,4,4,5,5,2,2
-6977859313495443,60.06,0.4374181347693712,0.35025393084955114,86.6600875854492,4,4,3,4,3,10,10,1,2
-1399576696931601404,59.38,0.432874609779955,0.3513752894811686,4158.50615596771,4,4,3,4,3,10,10,2,2
4578691573899966678,61.04,0.44362770530571694,0.3442570999065535,4258.38279891014,3,3,4,3,4,10,10,2,2
7909520701380772235,60.84,0.4420605527698837,0.3496688741721855,85.3886978626251,4,3,4,3,4,10,10,1,2
-7566088318072954021,60.82,0.4421504778853682,0.3461585341079918,2066.85042452812,4,4,3,3,4,5,10,2,2
8953023443697493918,60.33,0.4380058632612425,0.3491325722179337,46.4473593235015,4,4,3,4,3,5,10,1,2
-5480590344398518304,60.61,0.4421298119228963,0.3508389875269168,89.6703476905822,3,3,4,3,4,10,10,1,2
6211449852236742321,59.16,0.4342658539964521,0.3582984601633284,16.6987597942352,4,4,3,3,3,10,10,1,1
2016800176218783648,59.56,0.4343868931795619,0.3550806484378175,92.4978251457214,4,3,4,4,3,5,10,2,1
8407333737968372413,60.11,0.4388563199761256,0.3578109129321904,6.774279117584228,3,3,3,4,4,5,5,1,1
-6239134016624968664,59.74,0.4379919949790712,0.3521066103278756,90.057294845581,4,3,3,4,4,10,5,2,1
-6539035544881161712,59.87,0.43820370071665743,0.35122902531182715,194.3478608131408,4,3,3,3,4,10,10,2,1
-6225352816276811159,58.82,0.4316696888355969,0.3577621582090766,86.443374633789,4,3,3,4,3,10,5,2,1
-1641897173868681754,60.58,0.44161201097591996,0.35103400641937194,45.3797254562377,3,3,4,4,4,5,10,1,2
-2999328018261393986,59.48,0.43525810655393454,0.35586072400763835,6.9045124053955,4,3,3,3,3,5,5,1,1
8322557493258674857,60.57,0.43916130902112893,0.3498151383415269,45.6115112304687,3,4,4,4,3,10,5,1,2
4530264634720225566,60.0,0.43524062545557696,0.3483037419249991,583.111060380935,4,3,3,3,3,5,5,2,2
2533042417105854943,59.71,0.4352314915406535,0.35322796895949304,190.103193998336,4,4,4,3,3,10,10,2,1
-7590432814048339759,59.09,0.4325779145668528,0.3553731767765003,4148.36389183998,3,4,4,3,3,10,10,2,2
-487586627812561830,59.2,0.4320301355300169,0.35586072400763835,1413.360224246978,4,4,4,4,3,10,5,2,2
-4460905552452763709,60.44,0.4415976254383013,0.34718238329338164,1324.903101205825,3,3,3,3,4,10,5,2,2
-4782829917316174380,60.33,0.4390166539767739,0.3546418559297933,7.20178794860839,4,3,4,4,3,5,5,1,1
7114459667530670683,60.95,0.4419109763234788,0.3451834396457157,1886.150807619094,3,3,4,4,4,5,10,2,2
6261886104040778786,60.24,0.4398131128544164,0.3491813269410475,98.7521793842315,4,4,3,3,4,5,10,2,1
-4228683962798023616,60.53,0.4393771370113676,0.35103400641937194,89.6573095321655,3,3,4,4,3,10,10,1,2
-818662488617572305,59.51,0.4362218303037788,0.3560069881769797,11.57058763504028,3,4,3,4,3,10,5,1,1
-6075031556849100880,60.21,0.4401919249323368,0.3504001950188925,97.0437333583831,3,3,3,3,4,5,10,2,1
4744896424640969831,60.88,0.4424494135197551,0.34493966603014675,614.866518259048,4,3,3,3,4,5,5,2,2
1089786063067747899,60.13,0.43810788013709595,0.3558119692845245,9.76837134361267,4,4,3,3,4,5,10,1,1
7952611080502771892,60.01,0.4374781450305312,0.3501076666802097,22.80096817016601,3,3,3,3,3,5,5,1,2
4947847857595413412,60.85,0.4419932286481281,0.3452321943688296,4156.05905222892,3,3,4,4,4,10,10,2,2
991632239128950531,59.69,0.4350724087111022,0.35366676146751724,86.4496982097625,4,3,4,3,3,10,5,2,1
-35734495376577258,60.64,0.4417085328087405,0.3559582334538659,6.76888251304626,3,4,4,4,4,5,5,1,1
4395562345859553645,59.93,0.4359784369501945,0.35269166700524124,46.1004858016967,4,4,4,3,3,5,5,2,1
-4620182901193931755,60.92,0.4429571553628192,0.3476699305245197,87.9341609477996,3,4,4,4,4,10,10,1,2
-1284122462217528957,60.14,0.43760593917380775,0.3554706862227279,17.2179510593414,4,4,4,4,3,10,10,1,1
-8189533089611213113,59.17,0.4332825146159409,0.3555194409458417,44.632754325866,4,3,3,3,3,5,5,2,1
-1366457834536631322,59.29,0.4328710131094644,0.35649453540811776,44.331865787506,3,4,4,4,3,5,5,2,1
-5131228173330731642,59.24,0.4338480517956747,0.35430057286799665,46.338490486145,4,4,3,3,3,5,5,2,1
-7170305649576949332,60.57,0.44199074168656455,0.35376427091374485,11.7386844158172,3,4,4,3,4,10,5,1,1
-1302208763739992526,60.05,0.4377068240244711,0.3499126477877545,87.5693597793579,3,3,3,3,3,10,10,1,2
-2238429128281172612,61.42,0.44490595144223016,0.34177060902774964,605.727404356002,4,3,4,3,4,5,5,2,2
-8524238750778961467,60.72,0.44282366764427866,0.3477674399707473,47.171445608139,4,4,4,3,4,5,10,1,2
-3180237929232520121,59.27,0.4326156228636384,0.35035144029577875,4156.64960813522,3,4,3,4,3,10,10,2,2
-7868779927903718038,60.56,0.4418232632552658,0.35035144029577875,23.1946442127227,3,3,4,3,4,5,5,1,2
5517650110029840974,60.14,0.4393969134575945,0.3560557429000935,11.60601115226745,3,3,3,4,4,10,5,1,1
-5208233994925292391,59.72,0.4329984652114458,0.35352049729817586,681.304687976837,4,4,4,4,3,5,5,2,2
-8537322003282178960,60.17,0.4384997459654089,0.3557144598382969,11.58063602447509,4,4,3,4,4,10,5,1,1
-1563031964558302461,60.93,0.44162887892689584,0.3501076666802097,97.654572963714,3,4,4,3,4,5,10,2,1
-3414592949415357354,59.98,0.4355491999019633,0.35259415755901363,93.3761703968048,3,4,4,3,3,5,10,2,1
2555757602992852576,60.99,0.4436393046453681,0.34479340186080537,4395.44415736198,3,4,4,3,4,10,10,2,2
7494188591544902137,60.26,0.44010208933643535,0.3513752894811686,22.93858909606933,3,4,3,3,4,5,5,1,2
2371644721601147742,59.28,0.4328992782255014,0.35668955430057303,42.7888844013214,3,3,4,4,3,5,5,2,1
-2217983886115825282,60.21,0.4401591809871533,0.3495226100028441,46.2399761676788,4,3,3,3,4,5,5,2,1
-4254689633219775436,59.9,0.4380678502145223,0.357664648762849,6.60432982444763,3,3,3,3,4,5,5,1,1
-6528195429141920705,60.13,0.43771132542942215,0.3547881200991347,11.88406634330749,4,3,4,4,3,10,5,1,1
-2988037743605213777,59.51,0.4352396766911967,0.3560069881769797,6.85476779937744,4,4,3,3,3,5,5,1,1
493128625741420666,61.1,0.44325105732322223,0.34479340186080537,1918.66937804222,3,4,4,3,4,5,10,2,2
-5582158571856702044,59.39,0.4336447096327731,0.3514727989273962,1408.86797714233,4,4,3,3,3,10,5,2,2
7857491219372569854,59.66,0.4351829867593841,0.34815747775565764,1249.79020500183,3,3,3,3,3,10,5,2,2
8813700453363598387,60.51,0.43838342371776334,0.3499614025108683,86.3662385940551,4,3,4,4,3,10,10,1,2
7429050129570716994,60.75,0.4414264613870899,0.3500101572339821,90.0885827541351,4,3,4,3,4,10,5,2,1
7395397654572254039,59.98,0.4355608354707399,0.3504001950188925,1818.637361764907,3,4,4,3,3,5,10,2,2
-951129887307187088,60.37,0.4391511836374696,0.3544955917604519,10.28192090988159,4,4,4,4,3,5,10,1,1
-8675908927351579773,60.3,0.4383344681033501,0.34781619469386105,44.987256765365,4,4,3,3,3,5,10,1,2
-916801541066538971,59.38,0.4327711268253285,0.3511802705887134,3935.21449375152,4,3,3,4,3,10,10,2,2
-3790873431100837917,60.58,0.4421486342749303,0.3487425344330233,44.9655361175537,3,3,3,4,4,10,5,1,2
8312543058176234175,59.94,0.4357077547716485,0.35332547840572065,44.3040046691894,3,4,4,3,3,5,5,2,1
7309617401466521189,60.3,0.4389199902679418,0.3545443464835657,10.49574923515319,4,3,4,4,3,5,10,1,1
-6631954385562429897,59.95,0.4375158654288293,0.3558119692845245,10.23134875297546,4,3,3,4,4,5,10,1,1
6594297579914796121,60.24,0.4401729983525784,0.3497663836184131,98.1657743453979,3,3,3,4,4,5,10,2,1
8290616510004220430,60.13,0.4408390643655635,0.3499614025108683,93.2381076812744,3,4,3,3,4,10,5,2,1
-1600440369534676231,60.3,0.4388678583279716,0.3549343842684761,7.29972887039184,4,4,4,4,3,5,5,1,1
3097944731185154282,60.05,0.4358122412541647,0.34781619469386105,1954.81350660324,4,4,3,3,3,5,10,2,2
3780111537807524283,60.61,0.43881302436045777,0.35025393084955114,44.74348640441894,3,4,4,4,3,5,10,1,2
7361215504414547221,59.72,0.4337732447627053,0.3523016292203308,574.60654258728,4,3,4,3,3,5,5,2,2
6898278232506876436,59.9,0.4386118336739007,0.3518140819891928,94.6479840278625,4,4,3,3,4,10,5,2,1
-4749677098005283230,61.03,0.4424060575017261,0.34464713769146393,568.849431037902,3,3,4,4,4,5,5,2,2
5860656533869886706,60.98,0.4421434663552729,0.3498638930646407,46.5376884937286,3,4,4,3,4,5,5,2,1
515563441019854764,61.21,0.4431819631091212,0.3443546093527811,1960.170378684997,4,3,4,4,4,5,10,2,2
-2096125511474327132,60.59,0.4422321063756416,0.3507414780806892,86.98171210289,3,4,4,3,4,10,10,1,2
-5936367094003748512,60.86,0.4424343011308979,0.3474261569089506,44.7576525211334,4,3,3,4,4,10,5,1,2
-6381810587436448600,60.41,0.4410998629676845,0.3507902328038029,96.010088443756,3,3,4,4,4,10,5,2,1
-7124796939289271643,60.56,0.4417927355708187,0.35400804452931384,16.96676969528198,3,4,4,3,4,10,10,1,1
-8616766280968672675,58.81,0.4323652387482483,0.3562995165156625,90.134682893753,4,4,3,3,3,10,5,2,1
-8757273321853587577,60.25,0.4395777097534409,0.3490350627717061,100.2771613597869,4,4,3,4,4,5,10,2,1
3883796638562868344,59.39,0.4328526591662264,0.3512777800349411,1224.820094823837,4,3,3,4,3,10,5,2,2
722169698339983289,60.95,0.4424640972359188,0.34464713769146393,1431.19245648384,3,4,4,4,4,10,5,2,2
4246665953200374103,59.22,0.43153102263057785,0.3570308373623696,605.592187643051,3,4,4,4,3,5,5,2,2
-4917414472451566756,60.57,0.44067405311521657,0.3538130256368587,6.99544191360473,4,3,4,3,4,5,5,1,1
-6837614524666880220,59.36,0.4337412160336062,0.3553244220533865,188.7552778720855,3,4,4,4,3,10,10,2,1
-5489862081236724889,60.09,0.4381404599560194,0.3493275911103889,45.1750774383544,3,3,3,3,3,10,5,1,2
4246270901981393160,60.57,0.4409739937657791,0.35342298785194826,10.9035379886627,4,4,4,3,4,5,10,1,1
-4655890164828308596,58.98,0.4312901566885099,0.3563482712387763,1363.661960601806,3,4,4,4,3,10,5,2,2
501070653361841264,60.88,0.4419996867810341,0.35005891195709593,96.2515935897827,4,3,4,3,4,5,10,2,1
-1852763614651068230,60.78,0.4420337724169193,0.34659732661601594,1957.934153795242,4,3,3,3,4,5,10,2,2
-3335801284202564181,59.82,0.4370491405491143,0.35742087514728005,6.961208581924438,4,4,3,4,4,5,5,1,1
5458758332025930280,60.22,0.4388278680678368,0.3554219314996141,12.42062592506408,3,3,4,4,3,10,5,1,1
-2937747154930169816,60.55,0.441762431780509,0.35400804452931384,11.80727839469909,3,3,4,3,4,10,5,1,1
5917956018286286014,59.03,0.4328563254346172,0.3559094787307521,95.7475593090057,4,4,3,4,3,5,10,2,1
1400519047996341008,60.68,0.4424308326316805,0.3484012513712267,45.2769422531127,4,3,4,3,4,5,10,1,2
7945207030104616991,59.89,0.4345534230740253,0.3494738552797303,1981.29251384735,4,4,3,4,3,5,10,2,2
